time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-11-26T08:15:47.900Z,36.8813,-120.3592,16.5,1.7,Md,,118.8,0.60187124,0.11,nc,nc72110050,2013-11-26T11:19:06.706Z,"8km ENE of Firebaugh, California",earthquake
2013-11-26T08:11:23.280Z,51.4132,-174.515,20.03,5.2,mb,,139,0.813,1.35,us,usb000l6mv,2013-11-26T09:27:38.138Z,"89km SSW of Atka, Alaska",earthquake
2013-11-26T07:37:02.000Z,38.3948,-122.202,4.1,2.4,Md,,75.6,0.06288207,0.36,nc,nc72110005,2013-11-26T09:30:14.287Z,"13km NE of Napa, California",earthquake
2013-11-26T07:36:27.200Z,19.6537,-65.4542,57,3.2,Md,11,277.2,1.34837124,0.25,pr,pr13330004,2013-11-26T14:13:43.081Z,"141km NNE of Vieques, Puerto Rico",earthquake
2013-11-26T07:36:26.700Z,19.3115,-155.2167,0.8,2.3,Ml,,86.4,0.02694946,0.26,hv,hv60597626,2013-11-26T07:42:12.686Z,"13km S of Volcano, Hawaii",earthquake
2013-11-26T07:14:41.000Z,34.0393,-116.8302,15.4,1.2,Ml,36,86.4,0.01796631,0.22,ci,ci11395306,2013-11-26T07:37:47.379Z,"13km NNE of Banning, California",earthquake
2013-11-26T07:14:38.500Z,33.831,-116.8393,1.8,1.3,Ml,15,86.4,0.16169675,0.53,ci,ci11395298,2013-11-26T07:16:52.294Z,"10km NNE of Valle Vista, California",earthquake
2013-11-26T07:02:09.700Z,33.6593,-116.7732,13.2,1.1,Ml,33,46.8,0.06288207,0.17,ci,ci11395282,2013-11-26T07:04:52.189Z,"10km SSW of Idyllwild-Pine Cove, California",earthquake
2013-11-26T06:35:40.200Z,33.4863,-116.4792,15.4,1,Ml,27,68.4,0.09881468,0.14,ci,ci11395258,2013-11-26T06:37:55.355Z,"19km ESE of Anza, California",earthquake
2013-11-26T06:35:28.300Z,33.4877,-116.4772,15.4,1.2,Ml,8,140.4,0.10779783,0.07,ci,ci11395266,2013-11-26T06:37:56.654Z,"19km ESE of Anza, California",earthquake
2013-11-26T06:23:26.300Z,18.159,-68.0801,94,3.4,Md,16,327.6,0.9342479,0.28,pr,pr13330002,2013-11-26T06:50:56.873Z,"58km SE of Punta Cana, Dominican Republic",earthquake
2013-11-26T05:59:30.000Z,60.7119,-152.6455,33.1,2,ml,,,,3.95,ak,ak10876532,2013-11-26T06:05:20.290Z,"25km NNE of Redoubt Volcano, Alaska",earthquake
2013-11-26T05:48:20.900Z,40.3068,-124.3997,7.8,2.8,Md,,252,0.08983153,0.1,nc,nc72109965,2013-11-26T09:01:09.885Z,"32km SW of Rio Dell, California",earthquake
2013-11-26T05:31:30.687Z,37.3638,-117.1191,0,1.48,ml,16,147.69,0.389,,nn,nn00429900,2013-11-26T05:33:43.000Z,"39km SSE of Goldfield, Nevada",earthquake
2013-11-26T05:07:35.000Z,63.0077,-150.667,100,1.8,Ml,,,,0.71,ak,ak10876520,2013-11-26T05:17:19.380Z,"81km NNW of Talkeetna, Alaska",earthquake
2013-11-26T05:07:09.000Z,63.3411,-149.7468,99.7,2.2,Ml,,,,1.47,ak,ak10876521,2013-11-26T05:17:19.395Z,"40km W of Cantwell, Alaska",earthquake
2013-11-26T05:02:46.200Z,34.0128,-117.5808,8.9,1.3,Ml,42,82.8,0.08084838,0.25,ci,ci11395234,2013-11-26T05:04:56.302Z,"6km WNW of Mira Loma, California",earthquake
2013-11-26T04:47:21.600Z,33.6405,-116.759,13.4,1.4,Ml,40,61.2,0.04491576,0.17,ci,ci11395226,2013-11-26T04:58:45.390Z,"11km SSW of Idyllwild-Pine Cove, California",earthquake
2013-11-26T04:33:01.000Z,60.967,-147.0055,21.9,1.8,ml,,,,0.43,ak,ak10876514,2013-11-26T04:42:46.686Z,"39km WSW of Valdez, Alaska",earthquake
2013-11-26T04:18:56.000Z,37.1266,-115.2738,0,1.37,ml,8,250.81,0.561,,nn,nn00429897,2013-11-26T04:31:59.022Z,"28km SSW of Alamo, Nevada",earthquake
2013-11-26T04:17:48.310Z,39.6974,-111.669,1.66,3.2,ml,,45,0.995,1.12,us,usb000l6lb,2013-11-26T12:20:20.185Z,"8km NNW of Fountain Green, Utah",earthquake
2013-11-26T04:15:49.000Z,62.0104,-149.3846,35.9,1.5,ml,,,,0.67,ak,ak10876509,2013-11-26T04:25:53.649Z,"29km SE of Y, Alaska",earthquake
2013-11-26T04:10:29.700Z,47.8643,-121.6517,12.3,1.1,Md,,100.8,0.09881468,0.06,uw,uw60638386,2013-11-26T06:04:33.339Z,"3km ENE of Gold Bar, Washington",earthquake
2013-11-26T04:02:17.600Z,33.3472,-116.883,9.8,1,Ml,17,82.8,0.01796631,0.29,ci,ci11395210,2013-11-26T04:04:35.614Z,"10km S of Aguanga, California",earthquake
2013-11-26T03:55:45.500Z,19.1014,-64.4572,37,2.5,Md,6,291.6,0.3880722,0.44,pr,pr13330003,2013-11-26T07:31:26.152Z,"77km NNE of Road Town, British Virgin Islands",earthquake
2013-11-26T03:20:00.753Z,38.6078,-118.5165,12,1.19,ml,5,142.37,0.021,,nn,nn00429896,2013-11-26T03:24:08.000Z,"13km NE of Hawthorne, Nevada",earthquake
2013-11-26T03:18:41.400Z,18.7896,-65.1171,17,2.5,Md,6,237.6,0.46263237,0.31,pr,pr13330001,2013-11-26T05:27:42.106Z,"53km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake
2013-11-26T03:16:37.000Z,47.7325,-122.2433,22,1.2,Md,,108,0.13474729,0.22,uw,uw60638376,2013-11-26T03:30:41.553Z,"1km NNW of Inglewood-Finn Hill, Washington",earthquake
2013-11-26T03:15:27.300Z,34.0988,-116.7348,7.2,1,Ml,28,100.8,0.08983153,0.19,ci,ci11395202,2013-11-26T03:17:40.287Z,"15km WNW of Morongo Valley, California",earthquake
2013-11-26T02:42:32.090Z,-42.6173,-16.0371,15.11,4.8,mb,,113,37.315,0.87,us,usb000l6l2,2013-11-26T10:44:59.566Z,"Southern Mid-Atlantic Ridge",earthquake
2013-11-26T02:39:30.000Z,63.349,-151.4064,7.3,1.5,ml,,,,0.11,ak,ak10876488,2013-11-26T02:45:14.855Z,"122km W of Cantwell, Alaska",earthquake
2013-11-26T01:45:47.500Z,38.835,-122.8007,2.5,1.2,Md,,57.6,0.00898315,0.02,nc,nc72109895,2013-11-26T07:01:06.503Z,"6km WNW of Cobb, California",earthquake
2013-11-26T01:41:09.000Z,38.836,-122.8007,2.4,1.8,Md,,57.6,0.00898315,0.03,nc,nc72109880,2013-11-26T05:50:02.499Z,"6km WNW of Cobb, California",earthquake
2013-11-26T01:28:38.700Z,33.4865,-116.627,3.8,1.3,Ml,12,169.2,0.01796631,0.1,ci,ci11395194,2013-11-26T01:31:24.643Z,"8km SSE of Anza, California",earthquake
2013-11-26T01:26:22.300Z,34.006,-116.7513,13.3,1.1,Ml,20,126,0.05389892,0.09,ci,ci11395186,2013-11-26T01:29:19.628Z,"10km NNE of Cabazon, California",earthquake
2013-11-26T01:04:26.200Z,38.834,-122.7992,2.2,2.2,Md,,54,0.00898315,0.04,nc,nc72109860,2013-11-26T09:06:53.311Z,"6km WNW of Cobb, California",earthquake
2013-11-26T01:02:41.000Z,38.8348,-122.799,2.6,2.7,Md,,57.6,0.00898315,0.04,nc,nc72109855,2013-11-26T06:02:09.805Z,"6km WNW of Cobb, California",earthquake
2013-11-26T01:01:52.700Z,18.7912,-64.9637,12,2.8,Md,8,201.6,0.43747954,0.28,pr,pr13330000,2013-11-26T02:05:11.202Z,"49km N of Charlotte Amalie, U.S. Virgin Islands",earthquake
2013-11-26T00:44:51.433Z,37.0481,-117.8265,8,1.41,ml,14,178,0.388,,nn,nn00429893,2013-11-26T00:47:37.000Z,"43km ESE of Big Pine, California",earthquake
2013-11-26T00:37:50.000Z,35.0315,-117.6803,0.1,1.5,Ml,20,75.6,0.09881468,0.27,ci,ci11395170,2013-11-26T00:40:14.318Z,"4km NW of Boron, California",earthquake
2013-11-26T00:22:51.000Z,61.9099,-151.239,65.3,1.6,Ml,,,,0.46,ak,ak10876407,2013-11-26T00:33:04.609Z,"65km WNW of Willow, Alaska",earthquake
2013-11-26T00:14:29.000Z,33.9812,-116.9873,6.1,1.5,Ml,36,57.6,0.06288207,0.33,ci,ci11395162,2013-11-26T08:17:02.601Z,"1km NW of Cherry Valley, California",earthquake
2013-11-26T00:11:49.000Z,38.7885,-122.7512,3.7,1,Md,,64.8,0.01796631,0.03,nc,nc72109845,2013-11-26T00:27:09.902Z,"1km NNE of The Geysers, California",earthquake
2013-11-26T00:01:16.000Z,64.9732,-147.3373,0,1.6,Ml,,,,0.52,ak,ak10876398,2013-11-26T00:16:58.554Z,"21km NNE of Badger, Alaska",earthquake
2013-11-26T00:01:12.022Z,38.9835,-118.5864,0,1.8,ml,22,140.5,0.359,,nn,nn00429891,2013-11-26T00:04:20.000Z,"49km E of Yerington, Nevada",earthquake
2013-11-25T23:37:04.460Z,-14.6145,167.0442,52.22,4.7,mb,,109,7.438,1.4,us,usb000l6ij,2013-11-26T07:39:42.915Z,"48km N of Port-Olry, Vanuatu",earthquake
2013-11-25T23:25:23.600Z,38.804,-122.8468,4.1,1.4,Md,,284.4,0.03593261,0.04,nc,nc72109815,2013-11-26T03:46:08.213Z,"8km WNW of The Geysers, California",earthquake
2013-11-25T23:01:43.200Z,33.8612,-116.9083,24.5,1.5,Ml,14,183.6,0.21559567,0.39,ci,ci11395154,2013-11-26T00:35:05.514Z,"7km SSW of Banning, California",earthquake
2013-11-25T22:46:10.000Z,60.2445,-152.242,100,3.3,Ml,,,,0.73,ak,ak10876043,2013-11-26T06:48:45.985Z,"38km SE of Redoubt Volcano, Alaska",earthquake
2013-11-25T22:24:44.500Z,43.7243,-123.1157,0,1.4,Md,,136.8,0.1706799,0.07,uw,uw60638236,2013-11-26T00:57:23.967Z,"9km SSW of Cottage Grove, Oregon",quarry
2013-11-25T21:48:17.000Z,60.3566,-152.07,100,2.2,Ml,,,,0.69,ak,ak10876007,2013-11-25T22:01:58.506Z,"39km ESE of Redoubt Volcano, Alaska",earthquake
2013-11-25T21:27:56.000Z,63.465,-151.3222,4,1.8,ml,,,,0.42,ak,ak10875996,2013-11-25T21:39:52.856Z,"118km W of Cantwell, Alaska",earthquake
2013-11-25T21:27:55.700Z,36.5035,-121.0287,4.4,1.3,Md,,108,0.03593261,0.08,nc,nc72109780,2013-11-26T02:48:11.507Z,"27km NE of Greenfield, California",earthquake
2013-11-25T21:10:55.200Z,44.8222,-111.0273,10.6,3,Ml,,104.4,0.06288207,0.18,uu,uu60046717,2013-11-26T05:13:21.910Z,"18km NNE of West Yellowstone, Montana",earthquake
2013-11-25T20:57:40.000Z,60.9606,-151.8254,80.9,2.1,ml,,,,0.67,ak,ak10875977,2013-11-25T21:05:53.756Z,"41km NW of Nikiski, Alaska",earthquake
2013-11-25T20:52:18.000Z,18.8945,-64.531,11,2.5,Md,3,259.2,0.24883333,0.37,pr,pr13329005,2013-11-26T00:38:51.286Z,"53km N of Road Town, British Virgin Islands",earthquake
2013-11-25T20:49:47.000Z,64.9325,-148.2371,14.6,1.5,ml,,,,0.37,ak,ak10875972,2013-11-25T21:05:52.883Z,"14km NW of Ester, Alaska",earthquake
2013-11-25T20:42:21.800Z,33.1103,-117.1158,1.2,1.1,Ml,14,118.8,0.10779783,0.21,ci,ci11395130,2013-11-25T20:44:56.538Z,"2km WSW of Escondido, California",earthquake
2013-11-25T20:13:48.600Z,33.8148,-117.4903,0.9,1.5,Ml,37,108,0.09881468,0.2,ci,ci11395106,2013-11-26T04:16:20.465Z,"4km SE of El Cerrito, California",earthquake
2013-11-25T20:06:55.050Z,-12.6445,-76.1494,74.04,5.5,mb,,69,0.94,0.81,us,usb000l6bt,2013-11-26T13:58:42.355Z,"42km NE of Quilmana, Peru",earthquake
2013-11-25T19:59:14.300Z,34.1828,-117.3437,10,2,Ml,68,32.4,0.04491576,0.27,ci,ci11395098,2013-11-26T07:47:43.904Z,"3km N of Muscoy, California",earthquake
2013-11-25T19:33:56.000Z,62.8498,-148.8287,63.7,1.8,Ml,,,,0.56,ak,ak10875935,2013-11-25T19:45:19.621Z,"60km S of Cantwell, Alaska",earthquake
2013-11-25T19:30:20.400Z,36.3958,-120.9548,1.3,1.4,Md,,187.2,0.06288207,0.04,nc,nc72109735,2013-11-25T23:18:14.923Z,"25km NE of King City, California",earthquake
2013-11-25T19:27:12.800Z,33.4365,-116.6707,16.1,1.3,Ml,17,82.8,0.05389892,0.11,ci,ci11395082,2013-11-26T03:29:44.491Z,"13km S of Anza, California",earthquake
2013-11-25T19:25:05.000Z,62.4307,-150.9302,13.7,1.6,Ml,,,,0.74,ak,ak10875927,2013-11-25T19:32:49.783Z,"44km WNW of Talkeetna, Alaska",earthquake
2013-11-25T19:23:55.000Z,60.8459,-150.9619,26.6,1.4,Ml,,,,0.28,ak,ak10875925,2013-11-25T19:36:47.018Z,"24km NE of Nikiski, Alaska",earthquake
2013-11-25T19:12:11.400Z,35.0457,-118.3172,0,2.1,Ml,12,61.2,0.06288207,0.11,ci,ci11395066,2013-11-25T19:23:50.520Z,"13km W of Mojave, California",earthquake
2013-11-25T18:56:23.600Z,40.3268,-124.4538,6.3,2,Md,,255.6,0.16169675,0.07,nc,nc72109725,2013-11-25T21:57:46.420Z,"32km SSW of Ferndale, California",earthquake
2013-11-25T18:23:53.100Z,34.0052,-117.1752,14.2,1.2,Ml,43,36,0.06288207,0.17,ci,ci11395050,2013-11-25T19:16:56.695Z,"5km S of Redlands, California",earthquake
2013-11-25T18:23:45.107Z,36.4367,-115.5177,0,1.41,ml,10,307.6,0.625,,nn,nn00429871,2013-11-25T18:25:40.000Z,"39km NNW of Summerlin South, Nevada",earthquake
2013-11-25T18:20:56.500Z,37.9247,-118.829,5,1.1,Md,,183.6,0.14373045,0.04,nc,nc72109705,2013-11-25T23:18:44.989Z,"33km NNE of Mammoth Lakes, California",earthquake
2013-11-25T18:08:20.084Z,38.0364,-115.5951,0,1.39,ml,6,293.27,0.763,,nn,nn00429870,2013-11-25T18:10:21.000Z,"70km ESE of Warm Springs, Nevada",earthquake
2013-11-25T18:05:40.400Z,33.4713,-116.9912,25,1,Ml,14,111.6,0.16169675,0.58,ci,ci11395042,2013-11-25T18:07:54.947Z,"12km WNW of Aguanga, California",earthquake
2013-11-25T17:49:25.300Z,40.7343,-123.2825,38.6,2.3,Md,,57.6,0.08983153,0.79,nc,nc72109695,2013-11-25T23:19:15.044Z,"21km NNW of Hayfork, California",earthquake
2013-11-25T17:14:35.000Z,64.1076,-149.6679,5.4,1.5,ml,,,,0.49,ak,ak10875832,2013-11-25T17:28:12.882Z,"44km NW of Healy, Alaska",earthquake
2013-11-25T17:10:24.900Z,33.7142,-116.7512,17.6,1.4,Ml,40,36,0.02694946,0.18,ci,ci11395026,2013-11-25T17:21:21.900Z,"4km SW of Idyllwild-Pine Cove, California",earthquake
2013-11-25T16:45:53.000Z,61.7348,-150.5888,49.3,1.8,Ml,,,,0.47,ak,ak10875816,2013-11-25T16:53:17.988Z,"29km W of Willow, Alaska",earthquake
2013-11-25T16:38:49.440Z,30.072,131.0984,38.03,4.7,mb,,129,3.049,0.58,us,usb000l69b,2013-11-26T00:41:19.409Z,"73km S of Nishinoomote, Japan",earthquake
2013-11-25T16:37:18.000Z,60.3649,-151.2517,43.7,1.7,ml,,,,0.05,ak,ak10875813,2013-11-25T16:44:15.729Z,"3km E of Cohoe, Alaska",earthquake
2013-11-25T16:20:15.300Z,33.643,-116.7033,14.8,1.1,Ml,21,46.8,0.03593261,0.08,ci,ci11395018,2013-11-25T16:22:29.350Z,"10km S of Idyllwild, California",earthquake
2013-11-25T16:16:07.000Z,37.6203,-118.9698,13.8,1,Md,,176.4,0.03593261,0.02,nc,nc72109665,2013-11-25T23:19:20.046Z,"3km S of Mammoth Lakes, California",earthquake
2013-11-25T16:02:35.100Z,38.8108,-122.8143,2.3,1.6,Md,,97.2,0.00898315,0.02,nc,nc72109655,2013-11-25T23:19:50.103Z,"6km NW of The Geysers, California",earthquake
2013-11-25T15:43:02.850Z,38.534,141.9328,54.81,5,mb,,92,3.565,1.18,us,usb000l68z,2013-11-25T23:47:23.437Z,"56km ENE of Ishinomaki, Japan",earthquake
2013-11-25T15:37:04.400Z,44.5217,-125.7072,5,2.3,Md,,334.8,1.55408544,0.75,uw,uw60637751,2013-11-26T01:57:42.919Z,"130km W of Waldport, Oregon",earthquake
2013-11-25T15:24:43.700Z,32.9138,-116.2435,6.5,1.8,Ml,47,82.8,0.00898315,0.22,ci,ci11394994,2013-11-25T15:35:24.690Z,"28km ENE of Pine Valley, California",earthquake
2013-11-25T15:21:16.300Z,36.1048,-117.9383,4.8,1.2,Ml,22,64.8,0.07186522,0.12,ci,ci11394986,2013-11-25T22:52:52.984Z,"52km NNW of Inyokern, California",earthquake
2013-11-25T15:14:36.000Z,52.3482,-164.8513,33.4,2.9,ml,,,,0.23,ak,ak10875781,2013-11-25T19:11:14.314Z,"203km SE of Unalaska, Alaska",earthquake
2013-11-25T14:37:43.600Z,19.3698,-155.2428,31.7,2.7,Ml,,50.4,0,0.19,hv,hv60597151,2013-11-25T21:31:51.048Z,"6km S of Volcano, Hawaii",earthquake
2013-11-25T14:35:34.000Z,60.9845,-147.4526,65.5,1.7,Ml,,,,1.36,ak,ak10875774,2013-11-25T14:45:22.703Z,"61km WSW of Valdez, Alaska",earthquake
2013-11-25T14:29:50.800Z,32.8783,-116.2457,5.1,1.6,Ml,35,90,0.03593261,0.2,ci,ci11394954,2013-11-25T22:25:52.685Z,"27km ENE of Pine Valley, California",earthquake
2013-11-25T14:13:56.500Z,19.2075,-65.3151,53,3.2,Md,22,216,0.89472202,0.25,pr,pr13329003,2013-11-25T15:10:40.892Z,"100km N of Culebra, Puerto Rico",earthquake
2013-11-25T14:11:16.490Z,-22.0849,-68.9431,100.72,4.5,mb,,153,0.526,1.01,us,usb000l68a,2013-11-25T22:13:57.264Z,"42km N of Calama, Chile",earthquake
2013-11-25T13:45:41.000Z,61.908,-149.3171,18.5,1.1,ml,,,,0.14,ak,ak10875769,2013-11-25T13:51:02.847Z,"18km NNW of Fishhook, Alaska",earthquake
2013-11-25T13:23:10.000Z,63.4,-148.0001,36.5,1,ml,,,,0.11,ak,ak10875767,2013-11-25T13:32:09.798Z,"47km E of Cantwell, Alaska",earthquake
2013-11-25T13:22:06.300Z,37.9743,-90.4868,11.8,2.6,md,15,71.9999942400005,0.2874609,0.34,nm,nm112513b,2013-11-26T11:58:58.620Z,"8km NE of Bonne Terre, Missouri",earthquake
2013-11-25T12:34:53.880Z,-60.3743,-47.3555,10,4.9,mb,,59,8.467,0.46,us,usb000l67r,2013-11-25T13:07:41.000Z,"Scotia Sea",earthquake
2013-11-25T12:08:29.600Z,44.8147,-111.0115,7.8,1.4,Ml,,129.6,0.05389892,0.16,uu,uu60046612,2013-11-25T15:31:32.957Z,"18km NNE of West Yellowstone, Montana",earthquake
2013-11-25T11:38:01.000Z,64.6507,-146.8946,16.7,1,Ml,,,,0.39,ak,ak10875758,2013-11-25T22:31:17.401Z,"7km E of Eielson Air Force Base, Alaska",earthquake
2013-11-25T11:37:58.000Z,63.2681,-150.4221,116.3,1.2,ml,,,,0.4,ak,ak10876031,2013-11-25T22:26:25.253Z,"74km W of Cantwell, Alaska",earthquake
2013-11-25T11:35:06.000Z,64.6526,-146.9136,16.7,1.4,ml,,,,0.48,ak,ak10875756,2013-11-25T11:50:31.241Z,"6km E of Eielson Air Force Base, Alaska",earthquake
2013-11-25T11:25:24.200Z,33.7898,-117.6342,3.7,1.9,Ml,70,36,0.01796631,0.15,ci,ci11394922,2013-11-25T21:54:46.729Z,"11km SSW of Corona, California",earthquake
2013-11-25T11:02:03.300Z,18.2551,-68.0927,106,3.3,Md,7,208.8,0.37459747,0.18,pr,pr13329004,2013-11-25T16:29:50.248Z,"48km SE of Punta Cana, Dominican Republic",earthquake
2013-11-25T10:56:17.500Z,33.6492,-117.9262,9.3,1.5,Ml,30,100.8,0.03593261,0.21,ci,ci11394906,2013-11-25T20:53:26.644Z,"1km NW of Costa Mesa, California",earthquake
2013-11-25T10:47:26.000Z,18.1856,-66.7005,58,2.6,Md,10,97.2,0.16798496,0.2,pr,pr13329002,2013-11-25T11:41:09.274Z,"8km S of Utuado, Puerto Rico",earthquake
2013-11-25T10:29:21.800Z,38.7132,-122.3822,9.3,1.8,Md,,86.4,0.08084838,0.16,nc,nc72109550,2013-11-25T23:20:20.800Z,"16km NNE of Angwin, California",earthquake
2013-11-25T09:55:03.810Z,13.6164,-91.514,43.64,4.9,mb,,103,2.219,1.27,us,usb000l65t,2013-11-25T17:57:36.241Z,"68km SSW of Nueva Concepcion, Guatemala",earthquake
2013-11-25T09:25:38.200Z,33.303,-115.687,2.8,1.5,Ml,37,79.2,0.06288207,0.14,ci,ci11394874,2013-11-25T20:02:30.772Z,"17km WNW of Niland, California",earthquake
2013-11-25T09:15:52.000Z,59.5617,-152.9909,109.4,3.3,ml,,,,0.95,ak,ak10875729,2013-11-25T18:42:11.698Z,"69km WSW of Anchor Point, Alaska",earthquake
2013-11-25T08:53:36.000Z,62.0868,-145.1825,21.9,1.5,ml,,,,0.61,ak,ak10875727,2013-11-25T09:01:43.708Z,"19km E of Glennallen, Alaska",earthquake
